"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 02, 2017","480.92","482.88","483.90","478.32","3.92M","-0.20%"
"Jun 01, 2017","481.89","480.85","486.01","475.52","5.51M","-0.58%"
"May 31, 2017","484.69","492.88","492.88","483.60","7.76M","-1.92%"
"May 30, 2017","494.19","487.15","496.08","485.49","3.72M","1.12%"
"May 29, 2017","488.71","491.56","494.44","484.02","6.31M","-1.06%"
"May 26, 2017","493.94","489.63","496.08","486.45","4.99M","1.26%"
"May 25, 2017","487.79","476.73","489.43","476.73","10.44M","2.98%"
"May 24, 2017","473.66","476.23","478.96","471.08","5.64M","-0.26%"
"May 23, 2017","474.90","478.54","479.71","473.31","4.04M","-0.43%"
"May 22, 2017","476.95","475.44","479.66","474.52","5.50M","0.36%"
"May 19, 2017","475.22","476.98","477.57","470.21","4.26M","-0.39%"
"May 18, 2017","477.10","467.80","483.13","467.73","8.06M","0.94%"
"May 17, 2017","472.66","472.07","475.47","468.22","2.92M","-0.23%"
"May 16, 2017","473.75","472.81","476.31","469.76","6.13M","0.36%"
"May 15, 2017","472.04","477.97","477.97","470.83","7.30M","-1.32%"
"May 12, 2017","478.34","472.76","479.21","471.99","10.98M","2.13%"
"May 11, 2017","468.35","469.71","471.20","465.10","3.23M","0.05%"
"May 10, 2017","468.12","469.86","471.27","464.90","3.36M","-0.32%"
"May 09, 2017","469.61","471.57","472.24","467.36","5.65M","0.12%"
"May 08, 2017","469.04","465.32","470.55","462.34","4.71M","1.50%"
"May 05, 2017","462.10","464.33","465.00","456.39","4.43M","-0.66%"
"May 04, 2017","465.15","464.83","466.14","460.81","5.28M","0.36%"
"May 03, 2017","463.49","459.62","465.87","455.23","4.66M","1.27%"
"May 02, 2017","457.68","458.38","459.57","453.96","3.23M","0.40%"
"Apr 28, 2017","455.87","459.79","460.06","454.21","5.03M","-0.68%"
"Apr 27, 2017","459.00","454.41","460.86","454.41","7.80M","1.20%"
"Apr 26, 2017","453.54","461.33","464.11","451.53","9.08M","-1.62%"
"Apr 25, 2017","461.03","459.32","462.84","456.66","4.74M","0.30%"
"Apr 24, 2017","459.64","455.15","460.61","452.92","5.56M","0.31%"
"Apr 21, 2017","458.23","463.73","463.73","456.94","3.58M","-0.39%"
"Apr 20, 2017","460.01","457.14","461.20","455.67","4.55M","0.88%"
"Apr 19, 2017","455.99","457.88","461.35","452.75","10.07M","-0.38%"
"Apr 18, 2017","457.71","458.75","463.34","455.95","4.65M","-0.24%"
"Apr 17, 2017","458.82","461.35","462.39","458.13","7.21M","-0.70%"
"Apr 13, 2017","462.05","481.20","491.12","459.69","30.97M","-3.87%"
"Apr 12, 2017","480.63","481.20","484.62","476.41","6.70M","0.18%"
"Apr 11, 2017","479.78","474.28","482.04","474.28","8.66M","1.44%"
"Apr 10, 2017","472.96","488.59","490.87","471.32","9.53M","-2.87%"
"Apr 07, 2017","486.93","496.52","496.52","485.66","6.40M","-1.80%"
"Apr 06, 2017","495.88","495.16","498.96","492.11","5.38M","0.37%"
"Apr 05, 2017","494.07","498.56","498.76","491.61","7.40M","-1.27%"
"Apr 03, 2017","500.44","512.03","512.18","499.10","4.32M","-1.32%"
"Mar 31, 2017","507.12","507.61","510.61","500.05","14.15M","-0.32%"
"Mar 30, 2017","508.73","512.94","513.89","506.12","12.16M","-0.62%"
"Mar 29, 2017","511.88","513.09","516.67","508.90","6.98M","-0.32%"
"Mar 28, 2017","513.52","511.70","515.43","510.99","4.80M","0.61%"
